customer_id,gender,age,under_30,senior_citizen,married,dependents,number_of_dependents,referred_a_friend,number_of_referrals,tenure_in_months,offer,phone_service,avg_monthly_long_distance_charges,multiple_lines,internet_service,internet_type,avg_monthly_gb_download,online_security,online_backup,device_protection_plan,premium_tech_support,streaming_tv,streaming_movies,streaming_music,unlimited_data,contract,paperless_billing,payment_method,monthly_charge,total_charges,total_refunds,total_extra_data_charges,total_long_distance_charges,total_revenue,churn_value
9574-RKJIF,Male,52,No,No,Yes,No,0,Yes,1,30,Offer C,Yes,28.85,Yes,Yes,Fiber Optic,6,Yes,Yes,No,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,94.4,2838.7,0.0,80,865.5,3784.2,1
2931-XIQBR,Female,41,No,No,Yes,Yes,3,Yes,7,50,None,Yes,47.48,No,Yes,Fiber Optic,27,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,103.05,5153.5,0.0,0,2374.0,7527.5,0
4116-IQRFR,Male,55,No,No,Yes,Yes,2,Yes,1,4,Offer E,Yes,16.68,Yes,No,None,0,No,No,No,No,No,No,No,No,One Year,No,Credit Card,24.1,73.1,0.0,0,66.72,139.82,0
2761-OCIAX,Male,74,No,Yes,No,No,0,No,0,2,None,Yes,6.51,No,Yes,Fiber Optic,11,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.7,165.4,0.0,0,13.02,178.42,1
3057-VJJQE,Male,64,No,No,No,No,0,No,0,35,None,Yes,20.39,Yes,Yes,DSL,21,Yes,No,No,No,No,No,No,Yes,Two Year,No,Credit Card,55.25,1924.1,0.0,0,713.65,2637.75,0
0730-KOAVE,Male,53,No,No,No,No,0,No,0,30,Offer C,Yes,41.66,Yes,Yes,Fiber Optic,28,Yes,Yes,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,94.3,2679.7,0.0,0,1249.8,3929.5,0
9895-VFOXH,Female,19,Yes,No,No,No,0,No,0,1,None,No,0.0,No,Yes,DSL,76,No,No,No,No,No,No,Yes,No,Month-to-Month,No,Credit Card,24.4,24.4,0.0,10,0.0,34.4,0
4989-LIXVT,Male,66,No,Yes,No,No,0,No,0,68,None,Yes,19.67,Yes,Yes,Fiber Optic,28,No,Yes,Yes,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.9,6503.2,0.0,0,1337.56,7840.76,0
6849-WLEYG,Male,43,No,No,No,Yes,3,No,0,1,None,Yes,11.91,No,No,None,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,19.75,19.75,0.0,0,11.91,31.66,1
0363-SVHYR,Male,28,Yes,No,Yes,Yes,3,Yes,10,71,Offer A,Yes,10.11,Yes,Yes,DSL,59,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,86.85,6263.8,0.0,0,717.81,6981.61,0
0365-TRTPY,Female,52,No,No,No,No,0,No,0,37,None,Yes,11.73,Yes,Yes,Fiber Optic,30,Yes,Yes,Yes,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,91.2,3382.3,0.0,0,434.01,3816.31,0
6115-ZTBFQ,Female,56,No,No,Yes,No,0,Yes,6,72,None,No,0.0,No,Yes,DSL,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,65.5,4919.7,0.0,0,0.0,4919.7,0
7874-ECPQJ,Female,57,No,No,No,Yes,2,No,0,4,None,Yes,27.37,No,No,None,0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,20.05,85.5,0.0,0,109.48,194.98,0
3161-GETRM,Male,61,No,No,Yes,Yes,3,Yes,10,34,Offer C,Yes,20.05,Yes,Yes,Fiber Optic,57,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,90.05,3097.0,0.0,0,681.7,3778.7,0
4067-HLYQI,Female,43,No,No,No,No,0,No,0,33,None,Yes,49.45,No,Yes,Fiber Optic,19,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,70.4,2406.1,0.0,60,1631.85,4097.95,0
1169-WCVAK,Male,42,No,No,Yes,No,0,Yes,1,19,Offer D,Yes,34.05,Yes,Yes,Fiber Optic,20,Yes,Yes,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Credit Card,88.8,1672.35,0.0,0,646.95,2319.3,0
7694-VLBWQ,Male,61,No,No,Yes,No,0,Yes,4,67,Offer A,Yes,8.18,Yes,Yes,Fiber Optic,3,No,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,104.1,7040.85,0.0,0,548.06,7588.91,1
7025-WCBNE,Male,74,No,Yes,No,No,0,No,0,47,None,Yes,14.78,Yes,Yes,DSL,10,No,Yes,No,Yes,No,No,No,Yes,Two Year,No,Bank Withdrawal,59.6,2754.0,0.0,0,694.66,3448.66,0
8292-FRFZQ,Female,19,Yes,No,No,No,0,No,0,39,Offer C,No,0.0,No,Yes,DSL,73,Yes,Yes,No,Yes,No,No,No,Yes,One Year,No,Bank Withdrawal,41.15,1700.9,0.0,0,0.0,1700.9,0
9289-LBQVU,Male,24,Yes,No,Yes,No,0,Yes,5,64,None,Yes,32.93,Yes,Yes,DSL,26,No,Yes,No,Yes,No,Yes,Yes,Yes,One Year,Yes,Credit Card,70.15,4480.7,0.0,0,2107.52,6588.22,0
1319-YLZJG,Male,62,No,No,Yes,No,0,Yes,9,12,Offer D,Yes,39.0,No,Yes,Fiber Optic,7,Yes,Yes,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.6,959.9,0.0,0,468.0,1427.9,0
3932-CMDTD,Female,29,Yes,No,No,No,0,No,0,4,None,Yes,43.45,No,Yes,Fiber Optic,52,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,105.65,443.9,0.0,0,173.8,617.7,1
0363-QJVFX,Male,22,Yes,No,No,No,0,No,0,32,Offer C,Yes,27.69,Yes,Yes,Fiber Optic,73,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,108.15,3432.9,0.0,0,886.08,4318.98,1
6993-OHLXR,Female,26,Yes,No,No,No,0,No,0,2,None,Yes,30.73,No,Yes,Fiber Optic,39,No,No,No,No,No,No,Yes,Yes,Month-to-Month,No,Bank Withdrawal,68.95,119.75,0.0,0,61.46,181.21,1
2919-HBCJO,Female,36,No,No,No,No,0,No,0,4,None,Yes,24.09,No,Yes,Fiber Optic,17,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,76.65,333.6,0.0,0,96.36,429.96,1
5593-SUAOO,Female,60,No,No,Yes,Yes,3,Yes,6,24,None,Yes,41.45,Yes,Yes,Fiber Optic,53,No,Yes,Yes,No,No,No,No,Yes,One Year,No,Bank Withdrawal,83.15,2033.05,0.0,0,994.8,3027.85,0
6689-TCZHQ,Female,70,No,Yes,No,No,0,No,0,5,Offer E,Yes,12.27,No,Yes,Fiber Optic,20,No,No,No,No,No,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,78.95,378.4,0.0,0,61.35,439.75,1
2775-SEFEE,Male,56,No,No,No,Yes,1,No,0,10,None,Yes,29.95,Yes,Yes,DSL,19,Yes,Yes,No,Yes,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,61.9,619.0,0.0,0,299.5,918.5,0
5740-YHGTW,Male,62,No,No,Yes,Yes,3,Yes,8,70,None,Yes,32.38,Yes,Yes,Fiber Optic,53,Yes,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,97.55,6669.05,0.0,0,2266.6,8935.65,0
6728-WYQBC,Male,52,No,No,No,No,0,No,0,1,Offer E,Yes,2.29,No,No,None,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,20.95,20.95,0.0,0,2.29,23.24,0
9499-XPZXM,Female,45,No,No,Yes,No,0,Yes,7,72,None,Yes,15.23,Yes,Yes,DSL,26,Yes,Yes,No,Yes,No,No,No,Yes,Two Year,No,Bank Withdrawal,64.75,4804.75,0.0,0,1096.56,5901.31,0
0734-OXWBT,Male,44,No,No,No,Yes,1,No,0,3,Offer E,Yes,25.04,No,Yes,Cable,17,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,No,Credit Card,70.7,225.65,0.0,0,75.12,300.77,0
9489-UTFKA,Male,76,No,Yes,Yes,No,0,Yes,9,8,Offer E,Yes,22.4,No,Yes,DSL,23,Yes,No,No,No,Yes,No,No,Yes,One Year,No,Bank Withdrawal,60.9,551.95,16.58,0,179.2,714.57,0
8457-XIGKN,Male,46,No,No,No,No,0,No,0,20,Offer D,Yes,29.12,No,No,None,0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Credit Card,19.6,356.15,0.0,0,582.4,938.55,0
3071-VBYPO,Male,38,No,No,Yes,Yes,2,Yes,1,3,Offer E,Yes,33.3,No,Yes,Fiber Optic,12,Yes,Yes,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,89.85,248.4,0.0,0,99.9,348.3,0
3460-TJBWI,Male,58,No,No,Yes,Yes,3,Yes,1,24,None,Yes,7.37,Yes,No,None,0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,24.2,609.05,0.0,0,176.88,785.93,0
7663-YJHSN,Female,33,No,No,Yes,No,0,Yes,10,72,Offer A,Yes,44.27,Yes,Yes,Fiber Optic,8,Yes,Yes,Yes,Yes,Yes,No,No,No,Two Year,Yes,Bank Withdrawal,103.95,7556.9,0.0,70,3187.44,10814.34,0
0932-YIXYU,Female,50,No,No,No,No,0,No,0,47,None,Yes,8.85,No,No,None,0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,20.25,1029.8,0.0,0,415.95,1445.75,0
1383-EZRWL,Female,62,No,No,No,No,0,No,0,7,Offer E,Yes,48.22,No,No,None,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Mailed Check,20.05,164.85,0.0,0,337.54,502.39,1
7159-FVYPK,Female,23,Yes,No,Yes,Yes,3,Yes,3,3,None,Yes,24.28,Yes,Yes,DSL,73,No,Yes,Yes,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,69.15,235.0,0.0,0,72.84,307.84,0
0666-UXTJO,Male,80,No,Yes,Yes,No,0,Yes,4,34,Offer C,Yes,29.66,No,Yes,Fiber Optic,29,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,85.2,2874.45,0.0,0,1008.44,3882.89,0
0380-NEAVX,Male,72,No,Yes,No,No,0,No,0,34,None,Yes,35.0,No,Yes,Fiber Optic,12,No,Yes,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,99.85,3343.15,0.0,0,1190.0,4533.15,0
5649-ANRML,Male,76,No,Yes,No,No,0,No,0,2,Offer E,Yes,12.96,No,Yes,Fiber Optic,20,No,Yes,Yes,Yes,No,Yes,No,Yes,Month-to-Month,Yes,Credit Card,95.1,180.25,0.0,0,25.92,206.17,1
6038-GCYEC,Female,25,Yes,No,No,No,0,No,0,24,Offer C,No,0.0,No,Yes,DSL,52,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,54.15,1240.25,0.0,0,0.0,1240.25,1
5453-AXEPF,Male,31,No,No,Yes,No,0,Yes,7,17,Offer D,Yes,46.71,Yes,Yes,Fiber Optic,8,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,80.5,1336.9,0.0,0,794.07,2130.97,0
0347-UBKUZ,Female,46,No,No,No,No,0,No,0,15,None,Yes,2.74,No,No,None,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Mailed Check,19.9,320.45,0.0,0,41.1,361.55,0
7615-ESMYF,Female,23,Yes,No,Yes,No,0,Yes,1,2,None,No,0.0,No,Yes,Cable,51,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,44.6,97.1,0.0,0,0.0,97.1,1
8069-YQQAJ,Male,63,No,No,No,No,0,No,0,14,Offer D,No,0.0,No,Yes,Cable,12,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,31.1,419.7,0.0,0,0.0,419.7,0
6518-LGAOV,Female,60,No,No,Yes,No,0,Yes,1,38,None,Yes,19.08,Yes,Yes,Fiber Optic,4,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,105.0,4026.4,0.0,0,725.04,4751.44,1
1964-SVLEA,Male,59,No,No,No,No,0,No,0,20,Offer D,Yes,30.13,No,No,None,0,No,No,No,No,No,No,No,No,One Year,Yes,Mailed Check,19.7,415.9,0.0,0,602.6,1018.5,0
7923-IYJWY,Male,68,No,Yes,No,No,0,No,0,67,None,Yes,44.56,Yes,Yes,Fiber Optic,29,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Two Year,Yes,Credit Card,116.1,7839.85,0.0,40,2985.52,10865.37,0
0396-YCHWO,Male,58,No,No,Yes,No,0,Yes,4,36,Offer C,Yes,40.58,Yes,Yes,Fiber Optic,12,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,95.4,3474.2,0.0,0,1460.88,4935.08,0
5176-LMJXE,Female,34,No,No,No,No,0,No,0,47,None,Yes,44.69,No,No,None,0,No,No,No,No,No,No,No,No,Two Year,Yes,Credit Card,20.55,945.7,0.0,0,2100.43,3046.13,0
0322-CHQRU,Male,63,No,No,No,No,0,No,0,2,None,Yes,25.49,No,Yes,DSL,9,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,45.35,89.5,0.0,0,50.98,140.48,1
2120-SMPEX,Male,43,No,No,No,No,0,No,0,25,Offer C,Yes,17.64,No,No,None,0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Mailed Check,20.15,536.35,0.0,0,441.0,977.35,0
9137-NOQKA,Male,80,No,Yes,No,No,0,No,0,2,None,Yes,7.03,No,No,None,0,No,No,No,No,No,No,No,No,Two Year,No,Bank Withdrawal,19.2,37.2,0.0,0,14.06,51.26,0
7340-KEFQE,Female,23,Yes,No,Yes,Yes,2,Yes,7,51,Offer B,No,0.0,No,Yes,Cable,27,Yes,No,No,Yes,No,No,Yes,Yes,Two Year,No,Bank Withdrawal,34.2,1782.0,9.39,0,0.0,1772.61,0
6502-MJQAE,Male,27,Yes,No,No,No,0,No,0,1,None,Yes,46.21,No,Yes,Fiber Optic,58,No,No,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,69.6,69.6,0.0,0,46.21,115.81,1
9127-QRZMH,Male,39,No,No,Yes,No,0,Yes,1,44,None,Yes,17.61,No,Yes,DSL,24,Yes,Yes,No,Yes,No,No,No,Yes,One Year,Yes,Bank Withdrawal,59.85,2603.95,0.0,0,774.84,3378.79,0
9251-AWQGT,Female,19,Yes,No,Yes,Yes,3,Yes,2,48,None,Yes,9.77,No,No,None,0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,20.0,935.9,0.0,0,468.96,1404.86,0
4827-DPADN,Female,28,Yes,No,Yes,Yes,3,Yes,3,72,None,Yes,24.48,Yes,Yes,Cable,69,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Two Year,Yes,Bank Withdrawal,83.3,6042.7,0.0,80,1762.56,7885.26,0
0843-WTBXE,Male,38,No,No,No,No,0,No,0,53,None,Yes,16.43,Yes,Yes,Fiber Optic,29,No,No,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,85.45,4517.25,0.0,0,870.79,5388.04,1
4335-BSMJS,Female,55,No,No,No,No,0,No,0,62,None,Yes,8.23,Yes,No,None,0,No,No,No,No,No,No,No,No,Two Year,Yes,Credit Card,25.8,1563.95,0.0,0,510.26,2074.21,0
4223-WOZCM,Male,71,No,Yes,No,No,0,No,0,2,Offer E,Yes,37.97,No,Yes,DSL,9,No,No,Yes,No,No,No,No,Yes,Two Year,No,Mailed Check,49.95,107.1,0.0,0,75.94,183.04,0
3967-KXAPS,Male,42,No,No,Yes,No,0,Yes,5,72,Offer A,Yes,13.59,Yes,Yes,DSL,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Two Year,No,Credit Card,92.3,6719.9,0.0,0,978.48,7698.38,0
2719-BDAQO,Male,36,No,No,No,No,0,No,0,17,None,Yes,4.51,No,Yes,Fiber Optic,13,Yes,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,93.85,1625.65,0.0,0,76.67,1702.32,1
3327-YBAKM,Female,31,No,No,Yes,No,0,Yes,10,64,None,Yes,19.22,No,Yes,Fiber Optic,21,Yes,No,No,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,96.9,6314.35,13.37,0,1230.08,7531.06,0
6599-GZWCM,Female,39,No,No,No,No,0,No,0,13,None,Yes,42.62,No,Yes,Fiber Optic,15,No,Yes,No,No,No,No,No,Yes,One Year,Yes,Credit Card,74.65,966.25,0.0,0,554.06,1520.31,0
0117-LFRMW,Male,52,No,No,Yes,Yes,1,Yes,1,37,None,No,0.0,No,Yes,DSL,23,Yes,Yes,Yes,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,40.2,1448.8,0.0,0,0.0,1448.8,1
4338-EYCER,Male,57,No,No,Yes,No,0,Yes,4,21,None,Yes,17.19,No,Yes,DSL,11,No,No,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,54.6,1125.2,0.0,0,360.99,1486.19,0
2338-BQEZT,Female,38,No,No,No,No,0,No,0,55,Offer B,Yes,3.62,No,Yes,DSL,17,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,50.55,2832.75,0.0,0,199.1,3031.85,0
7634-HLQJR,Female,52,No,No,Yes,Yes,1,Yes,1,47,None,Yes,1.44,No,No,None,0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,20.05,1016.7,0.0,0,67.68,1084.38,0
0917-EZOLA,Male,66,No,Yes,Yes,No,0,No,0,72,None,Yes,6.03,Yes,Yes,Fiber Optic,2,No,Yes,Yes,No,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,104.15,7689.95,0.0,0,434.16,8124.11,1
8952-WCVCD,Female,45,No,No,Yes,No,0,Yes,2,41,Offer B,Yes,9.85,No,Yes,Fiber Optic,14,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,104.45,4162.05,0.0,0,403.85,4565.9,0
7758-UJWYS,Male,31,No,No,Yes,Yes,1,Yes,10,34,None,No,0.0,No,Yes,DSL,29,No,No,No,Yes,Yes,No,No,Yes,Two Year,Yes,Bank Withdrawal,40.55,1325.85,0.0,0,0.0,1325.85,0
0375-HVGXO,Female,31,No,No,No,No,0,No,0,1,Offer E,No,0.0,No,Yes,DSL,8,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,34.7,34.7,0.0,0,0.0,34.7,1
9640-ZSLDC,Female,29,Yes,No,Yes,Yes,5,Yes,3,53,None,Yes,31.99,No,Yes,DSL,59,No,No,Yes,No,No,Yes,Yes,Yes,One Year,No,Credit Card,60.6,3297.0,0.0,0,1695.47,4992.47,0
4819-HJPIW,Male,32,No,No,No,No,0,No,0,18,None,No,0.0,No,Yes,DSL,8,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,25.15,476.8,0.0,0,0.0,476.8,0
1965-AKTSX,Female,65,No,Yes,No,No,0,No,0,14,Offer D,Yes,16.36,Yes,Yes,Fiber Optic,6,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,78.95,1101.85,0.0,0,229.04,1330.89,1
2024-BASKD,Female,23,Yes,No,No,No,0,No,0,1,Offer E,Yes,22.16,No,Yes,Fiber Optic,47,No,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Mailed Check,74.6,74.6,0.0,10,22.16,106.76,1
2791-SFVEW,Female,63,No,No,No,No,0,No,0,9,Offer E,Yes,34.79,No,No,None,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,20.15,238.15,0.0,0,313.11,551.26,0
0668-OGMHD,Female,20,Yes,No,Yes,No,0,Yes,8,21,Offer D,No,0.0,No,Yes,DSL,59,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,28.5,629.35,0.0,0,0.0,629.35,0
1097-FSPVW,Female,42,No,No,No,No,0,No,0,42,Offer B,Yes,32.16,No,Yes,DSL,8,Yes,No,Yes,No,No,No,No,Yes,Month-to-Month,No,Credit Card,54.55,2455.05,0.0,0,1350.72,3805.77,0
6979-TNDEU,Female,42,No,No,No,No,0,No,0,8,None,Yes,14.32,No,No,None,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,19.2,156.85,0.0,0,114.56,271.41,0
5312-UXESG,Female,43,No,No,No,No,0,No,0,41,Offer B,Yes,29.19,Yes,Yes,Fiber Optic,4,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,98.05,3990.6,0.0,0,1196.79,5187.39,0
6439-GTPCA,Female,29,Yes,No,No,No,0,No,0,45,None,Yes,4.48,Yes,Yes,Cable,51,No,No,Yes,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,87.25,3941.7,0.0,0,201.6,4143.3,1
2072-ZVJJX,Male,47,No,No,Yes,No,0,Yes,5,68,Offer A,Yes,22.83,Yes,No,None,0,No,No,No,No,No,No,No,No,Two Year,No,Bank Withdrawal,25.25,1728.2,0.0,0,1552.44,3280.64,0
0327-WFZSY,Male,62,No,No,Yes,Yes,3,Yes,9,39,Offer C,Yes,17.29,Yes,Yes,Fiber Optic,75,No,No,Yes,No,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,100.0,3835.55,0.0,0,674.31,4509.86,0
5095-AESKG,Female,33,No,No,Yes,No,0,Yes,1,3,None,Yes,31.61,Yes,Yes,Fiber Optic,20,No,Yes,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Credit Card,91.5,242.95,0.0,10,94.83,347.78,1
1952-DVVSW,Female,23,Yes,No,Yes,No,0,Yes,4,10,None,Yes,14.04,No,No,None,0,No,No,No,No,No,No,No,No,One Year,No,Credit Card,20.1,184.4,0.0,0,140.4,324.8,0
0581-MDMPW,Female,63,No,No,No,No,0,No,0,24,Offer C,Yes,44.09,Yes,Yes,Fiber Optic,9,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,88.95,2072.75,0.0,0,1058.16,3130.91,0
2586-CWXVV,Male,45,No,No,Yes,No,0,Yes,9,54,Offer B,No,0.0,No,Yes,Cable,9,No,Yes,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,30.4,1621.35,0.0,0,0.0,1621.35,0
7878-JGDKK,Male,38,No,No,No,No,0,No,0,4,Offer E,Yes,30.07,No,Yes,Cable,29,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,44.55,220.75,0.0,0,120.28,341.03,0
8512-WIWYV,Male,20,Yes,No,No,No,0,No,0,32,None,Yes,36.78,No,No,None,0,No,No,No,No,No,No,No,No,One Year,No,Credit Card,20.35,707.5,0.0,0,1176.96,1884.46,0
8329-IBCTI,Female,50,No,No,No,No,0,No,0,1,Offer E,Yes,6.08,No,No,None,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Mailed Check,19.65,19.65,0.0,0,6.08,25.73,1
6569-KTMDU,Female,28,Yes,No,No,No,0,No,0,1,None,Yes,5.02,No,No,None,0,No,No,No,No,No,No,No,No,Month-to-Month,No,Mailed Check,19.1,19.1,0.0,0,5.02,24.12,0
3166-PNEOF,Female,57,No,No,No,No,0,No,0,61,Offer B,Yes,4.51,Yes,Yes,Cable,24,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,86.45,5175.3,0.0,0,275.11,5450.41,0
0621-CXBKL,Female,62,No,No,No,No,0,No,0,53,Offer B,Yes,10.32,No,No,None,0,No,No,No,No,No,No,No,No,Two Year,No,Mailed Check,18.7,1005.7,0.0,0,546.96,1552.66,0
5203-XEHAX,Female,55,No,No,No,No,0,No,0,34,None,Yes,45.56,No,Yes,DSL,7,Yes,Yes,No,No,No,Yes,Yes,Yes,One Year,No,Bank Withdrawal,64.35,2053.05,46.39,0,1549.04,3555.7,0
4695-VADHF,Male,53,No,No,Yes,No,0,Yes,1,18,None,Yes,2.86,No,Yes,DSL,22,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,57.45,990.85,15.73,0,51.48,1026.6,1
7801-CEDNV,Male,33,No,No,Yes,No,0,Yes,10,27,None,Yes,9.01,No,Yes,DSL,5,Yes,No,No,No,No,No,No,Yes,One Year,No,Credit Card,48.7,1421.75,0.0,0,243.27,1665.02,0
9504-DSHWM,Male,53,No,No,No,No,0,No,0,20,None,Yes,33.14,Yes,Yes,DSL,17,Yes,No,No,Yes,No,No,No,No,Month-to-Month,No,Bank Withdrawal,59.2,1191.2,0.0,130,662.8,1984.0,0
1329-VHWNP,Female,42,No,No,No,No,0,No,0,7,None,No,0.0,No,Yes,DSL,4,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,25.05,189.95,0.0,0,0.0,189.95,0
9534-NSXEM,Male,28,Yes,No,No,No,0,No,0,26,Offer C,Yes,31.53,No,No,None,0,No,No,No,No,No,No,No,No,One Year,Yes,Credit Card,20.65,595.5,0.0,0,819.78,1415.28,0
0440-QEXBZ,Female,64,No,No,No,No,0,No,0,44,Offer B,Yes,18.42,Yes,Yes,DSL,22,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,50.15,2139.1,0.0,0,810.48,2949.58,0
2347-WKKAE,Male,52,No,No,Yes,No,0,Yes,9,42,None,Yes,41.16,Yes,Yes,Fiber Optic,11,Yes,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.4,4014.6,0.0,0,1728.72,5743.32,0
8544-JNBOX,Male,31,No,No,No,No,0,No,0,72,Offer A,Yes,23.43,No,No,None,0,No,No,No,No,No,No,No,No,Two Year,Yes,Credit Card,20.8,1521.2,0.0,0,1686.96,3208.16,0
1567-DSCIC,Male,59,No,No,No,No,0,No,0,8,None,Yes,23.89,Yes,Yes,Fiber Optic,14,No,Yes,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.0,773.65,0.0,0,191.12,964.77,1
2533-QVMSK,Male,46,No,No,Yes,No,0,Yes,9,61,Offer B,Yes,26.94,Yes,Yes,Fiber Optic,11,No,Yes,No,Yes,Yes,No,No,Yes,Two Year,Yes,Bank Withdrawal,94.1,5638.3,0.0,0,1643.34,7281.64,1
3755-JBMNH,Male,78,No,Yes,Yes,No,0,Yes,1,16,None,Yes,45.9,No,Yes,Fiber Optic,5,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,71.8,1167.8,0.0,0,734.4,1902.2,1
4504-YOULA,Female,42,No,No,Yes,Yes,3,No,0,35,Offer C,Yes,39.11,Yes,Yes,DSL,23,Yes,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,59.45,2136.9,0.0,0,1368.85,3505.75,0
9576-ANLXO,Female,30,No,No,No,No,0,No,0,3,None,Yes,26.26,No,Yes,Fiber Optic,30,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,69.55,222.3,0.0,0,78.78,301.08,1
