paperless_billing,internet_service,online_security,premium_tech_support,unlimited_data,age_bins,family_size_bins,number_of_referrals_bins,contract,offer,payment_method,internet_type,total_of_services_add,tenure_in_months_bins,monthly_charge,churn_value
No,Yes,No,No,Yes,1,0,0,Month-to-Month,Offer E,Bank Withdrawal,Fiber Optic,6,0,105.3,0
Yes,Yes,No,No,Yes,3,0,3,Month-to-Month,None,Bank Withdrawal,Fiber Optic,4,2,87.0,0
Yes,Yes,No,No,No,4,0,0,Month-to-Month,None,Bank Withdrawal,Fiber Optic,2,0,69.85,1
No,Yes,No,No,Yes,1,0,0,Month-to-Month,None,Credit Card,DSL,3,0,43.95,0
Yes,Yes,Yes,No,Yes,1,0,0,Month-to-Month,Offer D,Bank Withdrawal,Fiber Optic,4,2,73.2,1
Yes,Yes,No,No,Yes,4,0,0,Month-to-Month,Offer D,Bank Withdrawal,Fiber Optic,5,2,88.2,1
No,Yes,Yes,Yes,Yes,3,0,0,Two Year,Offer A,Bank Withdrawal,DSL,8,4,69.65,0
No,Yes,Yes,No,Yes,1,0,3,One Year,Offer C,Mailed Check,Cable,4,3,35.35,0
No,Yes,Yes,Yes,Yes,1,0,2,Two Year,Offer A,Credit Card,Cable,5,4,58.65,0
Yes,Yes,No,No,No,1,0,0,Month-to-Month,Offer E,Bank Withdrawal,DSL,2,0,44.75,0
Yes,No,No,No,No,2,2,2,Two Year,Offer A,Bank Withdrawal,None,1,4,19.95,0
Yes,No,No,No,No,3,0,0,Month-to-Month,None,Mailed Check,None,1,1,20.55,0
No,No,No,No,No,1,1,0,Two Year,None,Credit Card,None,1,3,20.5,0
No,Yes,Yes,Yes,Yes,2,0,0,Month-to-Month,Offer C,Bank Withdrawal,DSL,6,2,60.45,0
No,Yes,No,No,Yes,1,0,0,Month-to-Month,None,Credit Card,Cable,3,0,44.75,0
No,Yes,Yes,Yes,No,1,2,3,Month-to-Month,Offer B,Bank Withdrawal,DSL,4,3,56.25,0
Yes,Yes,No,Yes,Yes,2,0,0,Month-to-Month,None,Credit Card,Cable,4,3,44.45,0
No,Yes,No,No,No,0,0,0,Month-to-Month,Offer D,Bank Withdrawal,DSL,3,2,50.45,0
No,No,No,No,No,0,0,0,Month-to-Month,Offer D,Bank Withdrawal,None,1,2,20.25,1
No,Yes,No,No,No,2,0,0,Month-to-Month,Offer D,Bank Withdrawal,DSL,3,2,51.55,1
Yes,Yes,No,No,Yes,4,0,0,Month-to-Month,None,Bank Withdrawal,Fiber Optic,3,0,70.15,1
No,No,No,No,No,0,0,3,Two Year,Offer A,Credit Card,None,2,4,24.85,0
No,No,No,No,No,3,2,3,Two Year,None,Credit Card,None,1,3,21.25,0
Yes,Yes,Yes,Yes,Yes,4,0,0,One Year,None,Credit Card,Fiber Optic,6,3,105.5,1
Yes,Yes,Yes,Yes,Yes,4,0,3,Two Year,Offer A,Bank Withdrawal,Fiber Optic,8,4,93.05,0
No,No,No,No,No,3,0,0,Two Year,Offer B,Credit Card,None,1,3,20.3,0
Yes,Yes,No,No,Yes,3,1,2,Month-to-Month,Offer E,Bank Withdrawal,Fiber Optic,3,0,80.7,0
Yes,Yes,No,Yes,Yes,0,0,0,Two Year,Offer B,Credit Card,Cable,6,3,59.9,0
Yes,Yes,No,Yes,Yes,0,2,0,Month-to-Month,Offer E,Bank Withdrawal,Fiber Optic,6,0,104.4,1
No,Yes,Yes,No,Yes,1,0,0,Two Year,None,Bank Withdrawal,Cable,5,4,59.0,0
Yes,Yes,No,No,Yes,1,0,0,Month-to-Month,None,Bank Withdrawal,Cable,4,1,83.55,1
Yes,Yes,Yes,No,Yes,0,1,0,One Year,Offer B,Bank Withdrawal,Fiber Optic,6,3,96.1,0
No,Yes,Yes,Yes,Yes,3,2,3,Two Year,None,Credit Card,DSL,7,4,74.55,0
Yes,Yes,No,No,Yes,0,0,0,One Year,None,Bank Withdrawal,DSL,4,2,69.5,1
Yes,Yes,No,No,Yes,3,0,0,Month-to-Month,None,Credit Card,Cable,3,0,55.7,1
No,Yes,No,No,Yes,1,0,0,Month-to-Month,None,Bank Withdrawal,Fiber Optic,5,3,100.55,0
No,No,No,No,No,0,0,0,One Year,Offer B,Bank Withdrawal,None,1,3,20.8,1
Yes,No,No,No,No,4,0,0,Two Year,Offer A,Credit Card,None,1,4,20.0,0
Yes,Yes,Yes,Yes,Yes,3,0,3,One Year,None,Credit Card,DSL,6,3,69.5,0
Yes,Yes,No,No,Yes,4,0,0,Month-to-Month,None,Bank Withdrawal,Fiber Optic,6,2,106.4,1
Yes,Yes,No,Yes,Yes,4,0,0,One Year,None,Bank Withdrawal,Fiber Optic,7,4,110.85,1
No,Yes,No,No,No,3,0,0,Month-to-Month,Offer E,Mailed Check,Fiber Optic,3,0,94.5,1
No,Yes,No,No,No,0,0,0,Month-to-Month,Offer E,Mailed Check,Fiber Optic,3,1,74.65,1
Yes,Yes,No,No,Yes,4,1,3,One Year,Offer C,Mailed Check,Fiber Optic,4,3,93.95,0
Yes,Yes,No,No,Yes,0,0,0,Month-to-Month,None,Bank Withdrawal,DSL,3,0,45.35,1
Yes,Yes,No,No,Yes,1,0,3,Month-to-Month,Offer D,Bank Withdrawal,Fiber Optic,6,2,82.65,0
No,Yes,No,Yes,Yes,3,0,0,One Year,Offer B,Credit Card,Cable,4,3,54.9,0
Yes,Yes,No,No,Yes,4,0,1,One Year,None,Bank Withdrawal,Fiber Optic,5,3,81.6,0
No,Yes,No,No,No,3,0,0,Month-to-Month,None,Bank Withdrawal,DSL,3,0,49.5,0
Yes,Yes,No,No,No,3,0,0,Month-to-Month,Offer D,Bank Withdrawal,Fiber Optic,4,2,100.15,0
Yes,Yes,No,No,Yes,2,0,0,Month-to-Month,Offer D,Credit Card,Fiber Optic,5,2,90.95,0
No,Yes,No,Yes,Yes,0,0,0,One Year,None,Credit Card,Fiber Optic,5,3,81.7,0
Yes,Yes,No,Yes,Yes,0,0,2,Two Year,None,Bank Withdrawal,DSL,6,4,80.4,0
Yes,No,No,No,No,0,0,2,Month-to-Month,None,Credit Card,None,1,4,19.4,1
No,No,No,No,No,3,0,2,Two Year,None,Credit Card,None,2,4,23.85,0
No,No,No,No,No,1,2,2,Two Year,Offer B,Bank Withdrawal,None,1,3,19.5,0
Yes,Yes,No,No,Yes,1,0,0,Month-to-Month,None,Bank Withdrawal,Fiber Optic,4,2,74.05,1
Yes,Yes,Yes,Yes,Yes,0,1,2,Two Year,None,Bank Withdrawal,DSL,8,4,89.0,0
Yes,Yes,Yes,Yes,Yes,0,0,0,One Year,None,Credit Card,Fiber Optic,8,3,116.6,0
Yes,Yes,No,No,Yes,2,1,0,Month-to-Month,None,Bank Withdrawal,Fiber Optic,4,3,95.25,0
Yes,Yes,Yes,No,Yes,0,0,0,One Year,None,Credit Card,Fiber Optic,6,4,85.45,0
No,No,No,No,No,2,0,0,Month-to-Month,Offer E,Mailed Check,None,1,0,20.25,1
Yes,Yes,No,No,Yes,0,0,0,Month-to-Month,Offer E,Bank Withdrawal,Fiber Optic,4,1,94.2,1
Yes,Yes,No,No,No,3,0,0,One Year,Offer C,Mailed Check,Fiber Optic,2,3,89.1,0
Yes,No,No,No,No,0,0,0,Month-to-Month,Offer E,Credit Card,None,1,1,20.45,0
Yes,Yes,No,No,No,2,0,0,Month-to-Month,Offer E,Bank Withdrawal,Fiber Optic,3,0,84.6,0
Yes,Yes,No,No,Yes,2,0,3,One Year,Offer B,Bank Withdrawal,Fiber Optic,5,3,98.25,0
Yes,Yes,No,Yes,Yes,2,0,2,One Year,None,Bank Withdrawal,DSL,6,3,70.7,0
Yes,Yes,No,No,Yes,4,0,0,Month-to-Month,None,Bank Withdrawal,Fiber Optic,4,3,93.85,1
No,No,No,No,No,2,0,0,One Year,None,Bank Withdrawal,None,2,1,25.2,0
Yes,No,No,No,No,3,0,0,Month-to-Month,Offer E,Credit Card,None,1,0,20.15,0
Yes,Yes,No,No,Yes,4,0,0,Two Year,None,Credit Card,Fiber Optic,5,3,79.2,0
Yes,Yes,No,No,Yes,4,0,0,Month-to-Month,None,Bank Withdrawal,Fiber Optic,3,0,79.2,1
Yes,Yes,No,No,No,4,0,0,Month-to-Month,None,Bank Withdrawal,Fiber Optic,2,2,90.5,1
No,Yes,No,No,Yes,4,0,0,Month-to-Month,None,Bank Withdrawal,DSL,5,4,54.9,0
Yes,Yes,No,No,Yes,4,0,0,One Year,None,Bank Withdrawal,Fiber Optic,5,3,89.85,0
No,No,No,No,No,1,0,0,Two Year,None,Credit Card,None,1,3,19.1,0
No,Yes,Yes,No,No,4,0,0,Month-to-Month,None,Credit Card,Fiber Optic,4,3,91.0,0
Yes,Yes,No,No,Yes,2,0,0,Month-to-Month,None,Credit Card,DSL,3,3,50.35,0
Yes,Yes,No,Yes,Yes,3,0,0,Two Year,None,Credit Card,DSL,5,3,64.2,0
Yes,Yes,Yes,Yes,Yes,1,0,0,One Year,None,Bank Withdrawal,Fiber Optic,8,4,115.0,0
No,No,No,No,No,2,0,0,Two Year,None,Credit Card,None,1,3,20.3,0
Yes,Yes,Yes,No,Yes,2,0,0,Month-to-Month,None,Credit Card,Fiber Optic,7,4,111.05,0
No,Yes,Yes,Yes,Yes,0,0,2,Two Year,Offer A,Bank Withdrawal,Fiber Optic,8,4,115.15,0
Yes,Yes,Yes,Yes,Yes,0,0,0,One Year,Offer B,Bank Withdrawal,DSL,7,3,64.65,0
Yes,Yes,No,No,Yes,3,0,0,Month-to-Month,Offer B,Bank Withdrawal,Fiber Optic,5,4,81.55,0
No,No,No,No,No,3,0,0,Two Year,Offer D,Credit Card,None,1,2,19.6,0
Yes,Yes,No,No,Yes,4,0,0,Month-to-Month,Offer D,Bank Withdrawal,DSL,2,1,34.7,1
No,No,No,No,No,3,0,2,Two Year,None,Credit Card,None,1,2,20.1,0
Yes,Yes,No,Yes,Yes,0,2,0,Two Year,None,Bank Withdrawal,DSL,6,4,81.0,0
Yes,Yes,Yes,Yes,Yes,3,0,0,One Year,None,Credit Card,Fiber Optic,7,4,110.0,0
Yes,Yes,Yes,No,Yes,0,0,0,Month-to-Month,None,Bank Withdrawal,Fiber Optic,4,0,74.4,1
Yes,Yes,No,No,Yes,4,0,0,Month-to-Month,None,Bank Withdrawal,Fiber Optic,4,1,74.55,1
Yes,Yes,No,No,No,3,0,2,Month-to-Month,None,Credit Card,DSL,2,1,44.25,0
No,No,No,No,No,2,0,0,Two Year,Offer D,Credit Card,None,1,1,19.55,0
Yes,Yes,No,No,No,3,1,2,Month-to-Month,Offer B,Bank Withdrawal,Fiber Optic,3,3,74.3,0
Yes,Yes,No,No,Yes,0,0,0,Month-to-Month,None,Bank Withdrawal,Fiber Optic,5,3,89.2,1
Yes,Yes,No,No,Yes,3,0,0,Month-to-Month,None,Bank Withdrawal,Fiber Optic,3,0,91.1,1
Yes,Yes,No,No,Yes,2,0,0,Month-to-Month,None,Bank Withdrawal,DSL,3,1,43.75,0
Yes,Yes,No,Yes,Yes,0,0,0,Two Year,None,Credit Card,Fiber Optic,7,4,108.05,0
Yes,Yes,Yes,Yes,Yes,1,2,3,Two Year,Offer A,Credit Card,Fiber Optic,8,4,104.9,0
Yes,Yes,No,No,Yes,2,0,0,Month-to-Month,None,Bank Withdrawal,DSL,3,2,48.75,1
No,No,No,No,No,1,0,1,One Year,None,Credit Card,None,1,3,19.8,0
Yes,Yes,Yes,Yes,No,0,2,3,Two Year,Offer A,Bank Withdrawal,Fiber Optic,7,4,114.35,0
Yes,Yes,Yes,Yes,Yes,0,0,3,Month-to-Month,None,Credit Card,DSL,6,3,71.05,0
Yes,Yes,No,No,Yes,0,0,0,Month-to-Month,Offer E,Credit Card,Fiber Optic,4,0,82.85,0
No,No,No,No,No,1,1,0,Two Year,Offer A,Bank Withdrawal,None,2,4,25.45,0
No,Yes,No,No,No,4,0,0,One Year,Offer B,Bank Withdrawal,Cable,1,3,34.2,0
No,No,No,No,No,0,0,1,Two Year,None,Credit Card,None,1,4,19.1,0
Yes,Yes,No,No,Yes,1,0,0,Month-to-Month,Offer E,Bank Withdrawal,Fiber Optic,4,1,85.5,0
Yes,Yes,No,No,Yes,0,0,3,Month-to-Month,None,Bank Withdrawal,Fiber Optic,6,4,105.5,1
No,No,No,No,No,3,0,0,Two Year,None,Mailed Check,None,1,2,19.75,0
No,Yes,No,Yes,Yes,2,0,0,Two Year,None,Credit Card,Fiber Optic,5,3,100.65,0
Yes,Yes,Yes,No,Yes,1,1,0,Month-to-Month,Offer E,Credit Card,Cable,5,0,57.2,0
No,No,No,No,No,1,1,1,Two Year,Offer D,Credit Card,None,2,2,25.1,0
Yes,Yes,No,No,Yes,2,0,0,Month-to-Month,Offer E,Bank Withdrawal,Cable,3,0,42.9,1
No,Yes,No,Yes,Yes,2,0,2,One Year,None,Credit Card,DSL,6,3,72.1,0
No,No,No,No,No,3,0,0,Two Year,None,Credit Card,None,1,4,20.25,0
Yes,Yes,No,No,Yes,3,0,3,Month-to-Month,None,Credit Card,Fiber Optic,4,2,94.7,1
Yes,Yes,Yes,No,No,3,0,0,Month-to-Month,Offer D,Bank Withdrawal,Fiber Optic,5,2,95.15,1
Yes,Yes,No,No,Yes,0,0,0,Month-to-Month,Offer E,Bank Withdrawal,Fiber Optic,5,0,79.45,0
Yes,Yes,Yes,Yes,Yes,0,1,0,Two Year,None,Bank Withdrawal,Fiber Optic,7,3,111.15,0
No,No,No,No,No,3,0,0,One Year,None,Bank Withdrawal,None,1,3,19.8,0
No,Yes,Yes,Yes,Yes,0,0,1,Two Year,Offer A,Bank Withdrawal,Cable,8,4,90.55,0
Yes,Yes,No,No,Yes,0,0,0,Month-to-Month,None,Credit Card,Fiber Optic,4,0,85.95,0
Yes,Yes,No,No,Yes,4,0,0,Month-to-Month,Offer E,Mailed Check,Fiber Optic,4,0,74.85,1
Yes,Yes,No,Yes,Yes,3,1,2,One Year,None,Credit Card,Fiber Optic,6,3,85.85,0
No,Yes,No,Yes,No,2,0,2,Two Year,Offer A,Bank Withdrawal,DSL,6,4,72.95,0
No,Yes,Yes,No,Yes,3,2,3,Month-to-Month,Offer E,Credit Card,Cable,4,1,69.7,0
No,No,No,No,No,2,1,2,Two Year,Offer A,Credit Card,None,1,4,20.05,0
No,No,No,No,No,0,0,0,One Year,None,Credit Card,None,1,3,19.45,0
Yes,Yes,Yes,Yes,Yes,2,0,2,One Year,None,Bank Withdrawal,Cable,6,2,58.35,0
Yes,Yes,Yes,No,No,1,0,0,Month-to-Month,None,Credit Card,DSL,3,2,48.8,1
Yes,Yes,Yes,Yes,Yes,3,0,0,Two Year,Offer B,Bank Withdrawal,DSL,5,4,74.8,1
Yes,Yes,No,No,Yes,3,0,2,Month-to-Month,Offer D,Mailed Check,Fiber Optic,4,2,96.65,1
Yes,Yes,No,No,Yes,2,0,0,Two Year,None,Bank Withdrawal,DSL,5,3,77.8,0
Yes,Yes,Yes,Yes,Yes,3,0,0,Two Year,Offer A,Bank Withdrawal,Fiber Optic,8,4,114.95,0
Yes,Yes,No,Yes,No,3,0,3,Two Year,Offer A,Bank Withdrawal,Fiber Optic,6,4,110.15,0
Yes,Yes,No,No,Yes,1,0,0,Month-to-Month,None,Credit Card,DSL,3,1,40.1,1
Yes,Yes,No,No,Yes,0,0,0,Month-to-Month,Offer E,Bank Withdrawal,DSL,3,0,49.25,1
Yes,Yes,Yes,No,Yes,0,2,3,One Year,Offer B,Credit Card,Fiber Optic,6,4,94.95,0
No,Yes,No,Yes,Yes,0,0,0,Month-to-Month,None,Bank Withdrawal,DSL,4,0,70.3,0
No,Yes,Yes,No,Yes,1,2,0,One Year,Offer B,Bank Withdrawal,Fiber Optic,6,3,94.15,0
Yes,No,No,No,No,3,0,0,One Year,Offer D,Bank Withdrawal,None,1,2,19.3,0
Yes,Yes,No,No,Yes,3,1,2,Month-to-Month,Offer E,Bank Withdrawal,DSL,3,0,44.6,1
No,No,No,No,No,2,0,0,Month-to-Month,Offer D,Credit Card,None,1,2,19.25,0
No,Yes,Yes,Yes,No,2,0,0,Two Year,None,Credit Card,Cable,5,3,61.45,0
No,Yes,Yes,No,Yes,4,0,0,One Year,None,Bank Withdrawal,Fiber Optic,5,2,81.7,0
Yes,No,No,No,No,3,0,0,Month-to-Month,Offer D,Credit Card,None,1,1,20.0,0
Yes,Yes,No,No,Yes,3,0,0,Month-to-Month,Offer D,Bank Withdrawal,Fiber Optic,4,2,74.4,1
No,Yes,No,No,Yes,3,0,0,Month-to-Month,Offer E,Bank Withdrawal,Fiber Optic,3,0,69.65,1
No,Yes,No,Yes,Yes,3,0,0,One Year,None,Credit Card,DSL,5,1,74.05,1
No,Yes,No,No,Yes,4,0,0,Two Year,Offer A,Bank Withdrawal,Fiber Optic,5,4,104.05,0
Yes,Yes,No,No,Yes,1,0,0,Month-to-Month,None,Bank Withdrawal,Fiber Optic,3,3,70.75,1
Yes,Yes,No,No,Yes,4,0,0,One Year,None,Bank Withdrawal,DSL,4,3,55.45,0
Yes,Yes,No,Yes,Yes,0,0,0,Month-to-Month,Offer B,Bank Withdrawal,Fiber Optic,7,3,111.35,0
Yes,Yes,No,Yes,Yes,2,0,1,One Year,Offer A,Bank Withdrawal,Fiber Optic,7,4,108.5,0
Yes,Yes,Yes,No,Yes,3,0,0,One Year,Offer D,Credit Card,Cable,5,2,55.85,0
Yes,Yes,Yes,Yes,Yes,0,0,0,One Year,None,Credit Card,DSL,7,3,89.65,0
Yes,Yes,No,Yes,Yes,3,1,3,Month-to-Month,None,Credit Card,Cable,6,2,69.5,0
No,No,No,No,No,1,0,0,Month-to-Month,Offer E,Credit Card,None,1,0,20.65,0
Yes,Yes,No,Yes,Yes,0,0,0,Month-to-Month,None,Bank Withdrawal,Cable,3,3,31.2,0
No,Yes,No,Yes,Yes,1,2,3,One Year,None,Bank Withdrawal,Fiber Optic,6,3,84.2,0
Yes,Yes,Yes,Yes,Yes,0,0,0,One Year,None,Credit Card,Cable,4,3,35.8,0
No,No,No,No,No,3,1,0,Month-to-Month,None,Credit Card,None,1,3,20.8,0
Yes,Yes,Yes,Yes,Yes,0,0,0,Two Year,Offer A,Credit Card,Cable,7,4,73.0,0
No,Yes,No,No,No,3,0,0,Month-to-Month,None,Bank Withdrawal,Cable,3,3,96.05,1
Yes,No,No,No,No,2,0,0,One Year,Offer E,Credit Card,None,1,1,19.75,1
Yes,Yes,Yes,No,Yes,3,0,0,Two Year,Offer A,Credit Card,DSL,7,4,74.6,0
No,No,No,No,No,0,1,1,Two Year,Offer B,Mailed Check,None,1,3,20.85,0
No,Yes,No,No,No,2,0,2,One Year,Offer A,Credit Card,Fiber Optic,5,4,86.45,0
Yes,Yes,No,Yes,Yes,4,0,0,Month-to-Month,None,Bank Withdrawal,Fiber Optic,6,3,103.3,1
Yes,Yes,No,No,No,2,0,0,Month-to-Month,None,Credit Card,Fiber Optic,2,0,70.45,1
No,No,No,No,No,2,0,1,One Year,None,Credit Card,None,1,3,20.7,0
No,No,No,No,No,1,0,0,Two Year,None,Credit Card,None,1,2,20.75,0
No,Yes,No,No,Yes,3,2,0,One Year,Offer C,Bank Withdrawal,Fiber Optic,4,3,86.45,0
Yes,Yes,Yes,Yes,Yes,3,2,1,Month-to-Month,None,Bank Withdrawal,Cable,4,1,34.5,1
No,Yes,Yes,Yes,Yes,1,0,0,Two Year,None,Credit Card,DSL,8,4,79.15,0
No,Yes,No,No,Yes,2,0,0,Month-to-Month,Offer D,Bank Withdrawal,Fiber Optic,6,2,104.4,1
No,Yes,Yes,Yes,Yes,2,1,2,Two Year,Offer B,Credit Card,Fiber Optic,8,4,115.1,0
Yes,No,No,No,No,3,0,0,Month-to-Month,None,Mailed Check,None,1,2,19.8,0
No,Yes,Yes,No,No,0,0,0,Two Year,Offer A,Bank Withdrawal,Cable,4,4,65.55,0
No,No,No,No,No,2,0,3,One Year,None,Bank Withdrawal,None,2,3,24.85,0
No,Yes,Yes,Yes,Yes,1,1,2,Month-to-Month,Offer C,Bank Withdrawal,Cable,8,3,67.6,0
Yes,No,No,No,No,1,1,3,Two Year,Offer D,Credit Card,None,1,2,19.7,0
Yes,Yes,Yes,Yes,No,3,0,0,One Year,None,Bank Withdrawal,Fiber Optic,5,3,105.85,0
Yes,Yes,Yes,No,Yes,1,0,0,Month-to-Month,None,Bank Withdrawal,DSL,4,2,49.55,1
Yes,No,No,No,No,1,0,0,Month-to-Month,Offer E,Credit Card,None,1,0,19.6,1
Yes,Yes,No,No,No,4,0,1,Month-to-Month,None,Bank Withdrawal,Fiber Optic,2,2,70.15,1
Yes,Yes,No,No,Yes,3,0,0,Month-to-Month,None,Bank Withdrawal,Fiber Optic,4,3,94.7,0
Yes,No,No,No,No,2,1,3,Two Year,Offer B,Bank Withdrawal,None,2,3,24.65,0
Yes,Yes,Yes,Yes,Yes,0,0,3,Two Year,Offer A,Bank Withdrawal,Fiber Optic,8,4,112.55,0
Yes,Yes,Yes,No,Yes,2,0,0,Month-to-Month,None,Bank Withdrawal,DSL,5,1,66.7,0
Yes,Yes,Yes,No,No,2,0,0,Month-to-Month,None,Bank Withdrawal,Cable,3,1,49.85,1
No,No,No,No,No,3,0,3,Two Year,Offer A,Credit Card,None,1,4,20.5,0
No,Yes,Yes,No,Yes,4,0,0,Month-to-Month,None,Bank Withdrawal,DSL,3,2,39.1,1
Yes,Yes,Yes,No,Yes,2,0,0,Two Year,None,Bank Withdrawal,DSL,5,3,65.3,0
Yes,Yes,No,Yes,Yes,4,0,2,Month-to-Month,None,Bank Withdrawal,Fiber Optic,6,1,104.05,1
Yes,Yes,No,No,Yes,4,0,0,One Year,None,Bank Withdrawal,Fiber Optic,5,3,79.6,0
Yes,Yes,No,No,Yes,1,0,0,One Year,None,Bank Withdrawal,Fiber Optic,3,3,90.1,1
Yes,Yes,No,Yes,Yes,1,0,0,Month-to-Month,Offer B,Credit Card,Fiber Optic,5,4,99.15,0
Yes,Yes,Yes,No,Yes,1,1,0,One Year,None,Bank Withdrawal,Fiber Optic,6,4,106.1,0
Yes,No,No,No,No,2,0,0,Two Year,None,Bank Withdrawal,None,2,4,26.0,0
Yes,No,No,No,No,2,0,2,One Year,None,Bank Withdrawal,None,1,3,20.95,0
Yes,Yes,No,No,No,0,0,0,Month-to-Month,None,Bank Withdrawal,Fiber Optic,4,0,88.95,1
Yes,No,No,No,No,0,0,0,Two Year,Offer A,Credit Card,None,1,4,19.1,0
No,No,No,No,No,1,0,0,One Year,Offer D,Bank Withdrawal,None,1,1,20.15,0
Yes,Yes,No,No,No,4,0,0,One Year,Offer E,Bank Withdrawal,Fiber Optic,3,1,84.35,0
No,Yes,No,No,Yes,3,0,0,Month-to-Month,Offer C,Bank Withdrawal,Fiber Optic,4,3,84.95,1
Yes,Yes,No,Yes,No,3,0,0,Month-to-Month,None,Credit Card,Cable,3,0,50.2,0
Yes,Yes,No,Yes,Yes,0,0,0,Month-to-Month,None,Credit Card,Fiber Optic,6,3,84.25,1
Yes,Yes,No,No,Yes,4,0,0,Month-to-Month,Offer C,Bank Withdrawal,Fiber Optic,5,3,89.15,1
Yes,Yes,No,No,Yes,4,0,0,Month-to-Month,Offer E,Bank Withdrawal,DSL,2,0,25.2,1
Yes,Yes,Yes,Yes,Yes,1,1,3,One Year,None,Credit Card,DSL,8,4,69.35,0
No,Yes,No,No,Yes,0,0,0,Month-to-Month,None,Credit Card,Cable,3,0,45.3,0
No,Yes,No,Yes,Yes,4,0,1,Two Year,None,Bank Withdrawal,Fiber Optic,6,4,102.1,0
Yes,No,No,No,No,0,1,3,One Year,None,Bank Withdrawal,None,2,4,23.3,0
Yes,Yes,No,No,Yes,0,0,0,One Year,Offer C,Credit Card,DSL,4,3,58.6,0
Yes,Yes,No,No,Yes,1,0,0,One Year,Offer D,Mailed Check,DSL,5,2,54.25,0
No,Yes,No,No,Yes,0,1,3,Month-to-Month,Offer D,Credit Card,DSL,2,2,25.55,0
No,No,No,No,No,1,1,0,One Year,Offer D,Credit Card,None,1,2,19.95,0
Yes,Yes,No,Yes,No,0,0,0,Month-to-Month,None,Credit Card,DSL,3,0,51.0,0
Yes,Yes,Yes,Yes,No,0,1,0,One Year,Offer B,Bank Withdrawal,DSL,4,4,50.7,0
Yes,Yes,Yes,Yes,Yes,0,0,0,Two Year,Offer B,Bank Withdrawal,DSL,7,4,71.9,0
Yes,Yes,No,No,Yes,1,0,0,One Year,None,Bank Withdrawal,Fiber Optic,4,3,85.15,1
Yes,Yes,No,No,Yes,2,0,0,One Year,None,Credit Card,Fiber Optic,5,2,89.6,0
Yes,Yes,Yes,No,Yes,1,0,0,Two Year,Offer B,Bank Withdrawal,Fiber Optic,7,3,109.45,1
Yes,Yes,No,No,Yes,3,2,3,One Year,Offer B,Bank Withdrawal,Fiber Optic,6,4,107.45,0
Yes,Yes,No,Yes,Yes,3,0,3,One Year,None,Bank Withdrawal,DSL,5,3,64.85,0
Yes,Yes,No,No,Yes,2,0,0,Month-to-Month,None,Bank Withdrawal,Fiber Optic,6,4,102.4,0
Yes,Yes,Yes,No,Yes,4,0,0,Month-to-Month,Offer B,Bank Withdrawal,Fiber Optic,6,3,83.75,1
Yes,Yes,No,No,Yes,1,0,0,Month-to-Month,None,Bank Withdrawal,Fiber Optic,4,0,74.35,1
No,Yes,No,No,No,2,0,0,Month-to-Month,Offer E,Bank Withdrawal,Fiber Optic,2,0,77.85,1
No,Yes,Yes,No,Yes,2,0,0,Two Year,None,Credit Card,DSL,7,4,84.7,0
Yes,Yes,Yes,No,Yes,3,1,0,One Year,None,Credit Card,DSL,3,3,40.65,0
Yes,Yes,No,Yes,Yes,2,0,0,One Year,Offer D,Bank Withdrawal,Cable,4,1,59.8,1
No,Yes,No,Yes,Yes,3,0,3,One Year,None,Credit Card,Cable,4,3,35.45,0
No,Yes,Yes,Yes,No,2,0,0,One Year,Offer B,Bank Withdrawal,DSL,7,4,71.5,0
Yes,Yes,No,No,Yes,2,0,0,One Year,Offer B,Bank Withdrawal,Fiber Optic,5,4,100.15,1
Yes,Yes,No,No,Yes,1,0,0,Month-to-Month,None,Bank Withdrawal,Fiber Optic,4,0,74.5,1
No,Yes,No,No,Yes,3,0,0,Month-to-Month,Offer E,Bank Withdrawal,Fiber Optic,5,0,91.05,1
No,Yes,Yes,No,Yes,1,1,3,One Year,None,Bank Withdrawal,Fiber Optic,5,3,100.3,0
No,Yes,No,No,Yes,1,0,0,Month-to-Month,Offer E,Credit Card,Fiber Optic,4,0,75.35,0
No,No,No,No,No,3,0,0,Month-to-Month,None,Bank Withdrawal,None,1,3,19.4,0
Yes,Yes,No,No,Yes,3,0,0,Month-to-Month,Offer E,Bank Withdrawal,Fiber Optic,4,0,85.85,1
Yes,Yes,No,No,Yes,0,0,0,Month-to-Month,None,Credit Card,Fiber Optic,5,0,80.3,0
No,No,No,No,No,2,0,0,One Year,None,Bank Withdrawal,None,1,3,19.35,0
No,Yes,Yes,No,Yes,2,0,0,Two Year,None,Credit Card,Fiber Optic,7,4,98.0,0
No,Yes,No,No,Yes,3,0,0,Month-to-Month,Offer D,Bank Withdrawal,Fiber Optic,5,2,80.05,0
No,No,No,No,No,1,1,2,Two Year,None,Credit Card,None,2,3,24.95,0
Yes,No,No,No,No,1,2,1,Two Year,None,Credit Card,None,1,3,19.25,0
Yes,Yes,Yes,No,Yes,1,1,2,Two Year,Offer A,Bank Withdrawal,DSL,6,4,59.75,0
No,No,No,No,No,3,1,3,Two Year,None,Credit Card,None,2,3,25.2,0
Yes,Yes,No,No,Yes,0,0,0,Month-to-Month,Offer D,Bank Withdrawal,Fiber Optic,5,1,100.15,1
Yes,Yes,No,No,Yes,4,0,0,Month-to-Month,None,Bank Withdrawal,Fiber Optic,5,1,89.8,1
