online_security,paperless_billing,contract,internet_type,offer,payment_method,age_bins,family_size_bins,number_of_referrals_bins,tenure_in_months_bins,total_of_services_add,monthly_charge,churn_value
No,No,Two Year,None,None,Credit Card,1,1,1,4,1,19.1,0
Yes,No,Month-to-Month,Fiber Optic,None,Credit Card,4,0,0,3,4,91.0,0
No,Yes,Month-to-Month,DSL,None,Credit Card,2,0,0,3,3,50.35,0
No,Yes,Two Year,DSL,None,Credit Card,3,1,1,4,5,64.2,0
Yes,Yes,One Year,Fiber Optic,None,Bank Withdrawal,1,1,1,6,8,115.0,0
No,No,Two Year,None,None,Credit Card,2,0,0,4,1,20.3,0
Yes,Yes,Month-to-Month,Fiber Optic,None,Credit Card,3,0,0,6,7,111.05,0
Yes,No,Two Year,Fiber Optic,Offer A,Bank Withdrawal,0,1,2,6,8,115.15,0
Yes,Yes,One Year,DSL,Offer B,Bank Withdrawal,0,0,0,5,7,64.65,0
No,Yes,Month-to-Month,Fiber Optic,Offer B,Bank Withdrawal,3,1,1,6,5,81.55,0
No,No,Two Year,None,Offer D,Credit Card,3,0,0,2,1,19.6,0
No,Yes,Month-to-Month,DSL,Offer D,Bank Withdrawal,4,0,0,1,2,34.7,1
No,No,Two Year,None,None,Credit Card,3,1,2,2,1,20.1,0
No,Yes,Two Year,DSL,None,Bank Withdrawal,0,3,1,6,6,81.0,0
Yes,Yes,One Year,Fiber Optic,None,Credit Card,3,0,0,6,7,110.0,0
Yes,Yes,Month-to-Month,Fiber Optic,None,Bank Withdrawal,0,1,1,0,4,74.4,1
No,Yes,Month-to-Month,Fiber Optic,None,Bank Withdrawal,4,0,0,1,4,74.55,1
No,Yes,Month-to-Month,DSL,None,Credit Card,3,1,2,1,2,44.25,0
No,No,Two Year,None,Offer D,Credit Card,2,0,0,1,1,19.55,0
No,Yes,Month-to-Month,Fiber Optic,Offer B,Bank Withdrawal,3,2,2,5,3,74.3,0
No,Yes,Month-to-Month,Fiber Optic,None,Bank Withdrawal,0,1,1,3,5,89.2,1
No,Yes,Month-to-Month,Fiber Optic,None,Bank Withdrawal,3,0,0,1,3,91.1,1
No,Yes,Month-to-Month,DSL,None,Bank Withdrawal,2,0,0,1,3,43.75,0
No,Yes,Two Year,Fiber Optic,None,Credit Card,0,0,0,6,7,108.05,0
Yes,Yes,Two Year,Fiber Optic,Offer A,Credit Card,1,3,3,6,8,104.9,0
No,Yes,Month-to-Month,DSL,None,Bank Withdrawal,2,1,1,2,3,48.75,1
No,No,One Year,None,None,Credit Card,1,1,2,3,1,19.8,0
Yes,Yes,Two Year,Fiber Optic,Offer A,Bank Withdrawal,0,3,3,6,7,114.35,0
Yes,Yes,Month-to-Month,DSL,None,Credit Card,0,1,3,3,6,71.05,0
No,Yes,Month-to-Month,Fiber Optic,Offer E,Credit Card,0,0,0,0,4,82.85,0
No,No,Two Year,None,Offer A,Bank Withdrawal,1,2,0,6,2,25.45,0
No,No,One Year,Cable,Offer B,Bank Withdrawal,4,0,0,4,1,34.2,0
No,No,Two Year,None,None,Credit Card,0,1,2,6,1,19.1,0
No,Yes,Month-to-Month,Fiber Optic,Offer E,Bank Withdrawal,1,0,0,1,4,85.5,0
No,Yes,Month-to-Month,Fiber Optic,None,Bank Withdrawal,0,1,3,6,6,105.5,1
No,No,Two Year,None,None,Mailed Check,3,1,0,3,1,19.75,0
No,No,Two Year,Fiber Optic,None,Credit Card,2,0,0,5,5,100.65,0
Yes,Yes,Month-to-Month,Cable,Offer E,Credit Card,1,2,0,0,5,57.2,0
No,No,Two Year,None,Offer D,Credit Card,1,2,2,2,2,25.1,0
No,Yes,Month-to-Month,Cable,Offer E,Bank Withdrawal,2,0,0,0,3,42.9,1
No,No,One Year,DSL,None,Credit Card,2,1,2,4,6,72.1,0
No,No,Two Year,None,None,Credit Card,3,0,0,6,1,20.25,0
No,Yes,Month-to-Month,Fiber Optic,None,Credit Card,3,1,3,2,4,94.7,1
Yes,Yes,Month-to-Month,Fiber Optic,Offer D,Bank Withdrawal,3,0,0,2,5,95.15,1
No,Yes,Month-to-Month,Fiber Optic,Offer E,Bank Withdrawal,0,0,0,0,5,79.45,0
Yes,Yes,Two Year,Fiber Optic,None,Bank Withdrawal,0,2,0,4,7,111.15,0
No,No,One Year,None,None,Bank Withdrawal,3,0,0,4,1,19.8,0
Yes,No,Two Year,Cable,Offer A,Bank Withdrawal,1,1,2,6,8,90.55,0
No,Yes,Month-to-Month,Fiber Optic,None,Credit Card,0,0,0,1,4,85.95,0
No,Yes,Month-to-Month,Fiber Optic,Offer E,Mailed Check,4,0,0,0,4,74.85,1
No,Yes,One Year,Fiber Optic,None,Credit Card,3,2,2,5,6,85.85,0
No,No,Two Year,DSL,Offer A,Bank Withdrawal,3,1,2,6,6,72.95,0
Yes,No,Month-to-Month,Cable,Offer E,Credit Card,3,3,3,1,4,69.7,0
No,No,Two Year,None,Offer A,Credit Card,2,2,3,6,1,20.05,0
No,No,One Year,None,None,Credit Card,0,1,0,5,1,19.45,0
Yes,Yes,One Year,Cable,None,Bank Withdrawal,3,1,3,3,6,58.35,0
Yes,Yes,Month-to-Month,DSL,None,Credit Card,1,0,0,2,3,48.8,1
Yes,Yes,Two Year,DSL,Offer B,Bank Withdrawal,3,1,1,6,5,74.8,1
No,Yes,Month-to-Month,Fiber Optic,Offer D,Mailed Check,3,1,2,2,4,96.65,1
No,Yes,Two Year,DSL,None,Bank Withdrawal,2,0,0,5,5,77.8,0
Yes,Yes,Two Year,Fiber Optic,Offer A,Bank Withdrawal,3,0,0,6,8,114.95,0
No,Yes,Two Year,Fiber Optic,Offer A,Bank Withdrawal,3,1,3,6,6,110.15,0
No,Yes,Month-to-Month,DSL,None,Credit Card,1,0,0,1,3,40.1,1
No,Yes,Month-to-Month,DSL,Offer E,Bank Withdrawal,0,0,0,0,3,49.25,1
Yes,Yes,One Year,Fiber Optic,Offer B,Credit Card,0,3,3,6,6,94.95,0
No,No,Month-to-Month,DSL,None,Bank Withdrawal,0,0,0,0,4,70.3,0
Yes,No,One Year,Fiber Optic,Offer B,Bank Withdrawal,1,3,1,6,6,94.15,0
No,Yes,One Year,None,Offer D,Bank Withdrawal,3,0,0,2,1,19.3,0
No,Yes,Month-to-Month,DSL,Offer E,Bank Withdrawal,3,2,3,1,3,44.6,1
No,No,Month-to-Month,None,Offer D,Credit Card,3,0,0,2,1,19.25,0
Yes,No,Two Year,Cable,None,Credit Card,2,1,0,4,5,61.45,0
Yes,No,One Year,Fiber Optic,None,Bank Withdrawal,4,0,0,2,5,81.7,0
No,Yes,Month-to-Month,None,Offer D,Credit Card,3,0,0,1,1,20.0,0
No,Yes,Month-to-Month,Fiber Optic,Offer D,Bank Withdrawal,4,0,0,2,4,74.4,1
No,No,Month-to-Month,Fiber Optic,Offer E,Bank Withdrawal,3,0,0,0,3,69.65,1
No,No,One Year,DSL,None,Credit Card,3,0,0,2,5,74.05,1
No,No,Two Year,Fiber Optic,Offer A,Bank Withdrawal,4,0,0,6,5,104.05,0
No,Yes,Month-to-Month,Fiber Optic,None,Bank Withdrawal,1,1,1,3,3,70.75,1
No,Yes,One Year,DSL,None,Bank Withdrawal,4,0,0,5,4,55.45,0
No,Yes,Month-to-Month,Fiber Optic,Offer B,Bank Withdrawal,0,0,0,5,7,111.35,0
No,Yes,One Year,Fiber Optic,Offer A,Bank Withdrawal,3,1,2,6,7,108.5,0
Yes,Yes,One Year,Cable,Offer D,Credit Card,3,1,1,2,5,55.85,0
Yes,Yes,One Year,DSL,None,Credit Card,0,0,0,4,7,89.65,0
No,Yes,Month-to-Month,Cable,None,Credit Card,3,2,3,2,6,69.5,0
No,No,Month-to-Month,None,Offer E,Credit Card,1,0,0,1,1,20.65,0
No,Yes,Month-to-Month,Cable,None,Bank Withdrawal,1,0,0,3,3,31.2,0
No,No,One Year,Fiber Optic,None,Bank Withdrawal,1,3,3,5,6,84.2,0
Yes,Yes,One Year,Cable,None,Credit Card,0,1,1,5,4,35.8,0
No,No,Month-to-Month,None,None,Credit Card,3,2,0,3,1,20.8,0
Yes,Yes,Two Year,Cable,Offer A,Credit Card,0,0,0,6,7,73.0,0
No,No,Month-to-Month,Cable,None,Bank Withdrawal,3,0,0,4,3,96.05,1
No,Yes,One Year,None,Offer E,Credit Card,2,1,1,1,1,19.75,1
Yes,Yes,Two Year,DSL,Offer A,Credit Card,3,0,0,6,7,74.6,0
No,No,Two Year,None,Offer B,Mailed Check,0,2,2,4,1,20.85,0
No,No,One Year,Fiber Optic,Offer A,Credit Card,2,1,3,6,5,86.45,0
No,Yes,Month-to-Month,Fiber Optic,None,Bank Withdrawal,4,0,0,3,6,103.3,1
No,Yes,Month-to-Month,Fiber Optic,None,Credit Card,2,0,0,0,2,70.45,1
No,No,One Year,None,None,Credit Card,2,1,2,3,1,20.7,0
No,No,Two Year,None,None,Credit Card,2,0,0,3,1,20.75,0
No,No,One Year,Fiber Optic,Offer C,Bank Withdrawal,3,3,0,3,4,86.45,0
Yes,Yes,Month-to-Month,Cable,None,Bank Withdrawal,3,3,2,1,4,34.5,1
Yes,No,Two Year,DSL,None,Credit Card,2,1,1,6,8,79.15,0
No,No,Month-to-Month,Fiber Optic,Offer D,Bank Withdrawal,2,1,1,2,6,104.4,1
Yes,No,Two Year,Fiber Optic,Offer B,Credit Card,2,2,2,6,8,115.1,0
No,Yes,Month-to-Month,None,None,Mailed Check,3,0,0,2,1,19.8,0
Yes,No,Two Year,Cable,Offer A,Bank Withdrawal,0,0,0,6,4,65.55,0
No,No,One Year,None,None,Bank Withdrawal,2,1,3,4,2,24.85,0
Yes,No,Month-to-Month,Cable,Offer C,Bank Withdrawal,1,2,2,3,8,67.6,0
No,Yes,Two Year,None,Offer D,Credit Card,2,2,3,2,1,19.7,0
Yes,Yes,One Year,Fiber Optic,None,Bank Withdrawal,3,1,0,5,5,105.85,0
Yes,Yes,Month-to-Month,DSL,None,Bank Withdrawal,1,0,0,3,4,49.55,1
No,Yes,Month-to-Month,None,Offer E,Credit Card,1,0,0,0,1,19.6,1
No,Yes,Month-to-Month,Fiber Optic,None,Bank Withdrawal,4,1,2,2,2,70.15,1
No,Yes,Month-to-Month,Fiber Optic,None,Bank Withdrawal,3,1,0,4,4,94.7,0
No,Yes,Two Year,None,Offer B,Bank Withdrawal,2,2,3,4,2,24.65,0
Yes,Yes,Two Year,Fiber Optic,Offer A,Bank Withdrawal,0,1,3,6,8,112.55,0
Yes,Yes,Month-to-Month,DSL,None,Bank Withdrawal,2,0,0,1,5,66.7,0
Yes,Yes,Month-to-Month,Cable,None,Bank Withdrawal,2,0,0,1,3,49.85,1
No,No,Two Year,None,Offer A,Credit Card,3,1,3,6,1,20.5,0
Yes,No,Month-to-Month,DSL,None,Bank Withdrawal,4,1,1,3,3,39.1,1
Yes,Yes,Two Year,DSL,None,Bank Withdrawal,2,0,0,5,5,65.3,0
No,Yes,Month-to-Month,Fiber Optic,None,Bank Withdrawal,4,1,3,1,6,104.05,1
No,Yes,One Year,Fiber Optic,None,Bank Withdrawal,4,0,0,5,5,79.6,0
No,Yes,One Year,Fiber Optic,None,Bank Withdrawal,1,1,1,3,3,90.1,1
No,Yes,Month-to-Month,Fiber Optic,Offer B,Credit Card,1,1,0,6,5,99.15,0
Yes,Yes,One Year,Fiber Optic,None,Bank Withdrawal,2,2,1,6,6,106.1,0
No,Yes,Two Year,None,None,Bank Withdrawal,2,1,1,6,2,26.0,0
No,Yes,One Year,None,None,Bank Withdrawal,2,1,2,3,1,20.95,0
No,Yes,Month-to-Month,Fiber Optic,None,Bank Withdrawal,1,0,0,0,4,88.95,1
No,Yes,Two Year,None,Offer A,Credit Card,0,0,0,6,1,19.1,0
No,No,One Year,None,Offer D,Bank Withdrawal,1,0,0,2,1,20.15,0
No,Yes,One Year,Fiber Optic,Offer E,Bank Withdrawal,4,0,0,1,3,84.35,0
No,No,Month-to-Month,Fiber Optic,Offer C,Bank Withdrawal,4,1,1,3,4,84.95,1
No,Yes,Month-to-Month,Cable,None,Credit Card,3,0,0,0,3,50.2,0
No,Yes,Month-to-Month,Fiber Optic,None,Credit Card,0,0,0,4,6,84.25,1
No,Yes,Month-to-Month,Fiber Optic,Offer C,Bank Withdrawal,4,0,0,3,5,89.15,1
No,Yes,Month-to-Month,DSL,Offer E,Bank Withdrawal,4,0,0,0,2,25.2,1
Yes,Yes,One Year,DSL,None,Credit Card,1,2,3,6,8,69.35,0
No,No,Month-to-Month,Cable,None,Credit Card,0,0,0,0,3,45.3,0
No,No,Two Year,Fiber Optic,None,Bank Withdrawal,4,1,2,6,6,102.1,0
No,Yes,One Year,None,None,Bank Withdrawal,0,2,3,6,2,23.3,0
No,Yes,One Year,DSL,Offer C,Credit Card,0,0,0,4,4,58.6,0
No,Yes,One Year,DSL,Offer D,Mailed Check,1,0,0,2,5,54.25,0
No,No,Month-to-Month,DSL,Offer D,Credit Card,0,2,3,2,2,25.55,0
No,No,One Year,None,Offer D,Credit Card,1,2,1,2,1,19.95,0
No,Yes,Month-to-Month,DSL,None,Credit Card,0,1,0,0,3,51.0,0
Yes,Yes,One Year,DSL,Offer B,Bank Withdrawal,0,2,1,6,4,50.7,0
Yes,Yes,Two Year,DSL,Offer B,Bank Withdrawal,0,0,0,6,7,71.9,0
No,Yes,One Year,Fiber Optic,None,Bank Withdrawal,1,0,0,3,4,85.15,1
No,Yes,One Year,Fiber Optic,None,Credit Card,2,0,0,2,5,89.6,0
Yes,Yes,Two Year,Fiber Optic,Offer B,Bank Withdrawal,1,1,1,5,7,109.45,1
No,Yes,One Year,Fiber Optic,Offer B,Bank Withdrawal,4,3,3,6,6,107.45,0
No,Yes,One Year,DSL,None,Bank Withdrawal,3,1,3,4,5,64.85,0
No,Yes,Month-to-Month,Fiber Optic,None,Bank Withdrawal,2,1,1,6,6,102.4,0
Yes,Yes,Month-to-Month,Fiber Optic,Offer B,Bank Withdrawal,4,1,1,4,6,83.75,1
No,Yes,Month-to-Month,Fiber Optic,None,Bank Withdrawal,1,0,0,0,4,74.35,1
No,No,Month-to-Month,Fiber Optic,Offer E,Bank Withdrawal,2,0,0,0,2,77.85,1
Yes,No,Two Year,DSL,None,Credit Card,2,0,0,6,7,84.7,0
Yes,Yes,One Year,DSL,None,Credit Card,3,2,0,3,3,40.65,0
No,Yes,One Year,Cable,Offer D,Bank Withdrawal,2,0,0,2,4,59.8,1
No,No,One Year,Cable,None,Credit Card,3,1,3,4,4,35.45,0
Yes,No,One Year,DSL,Offer B,Bank Withdrawal,2,0,0,6,7,71.5,0
No,Yes,One Year,Fiber Optic,Offer B,Bank Withdrawal,2,0,0,6,5,100.15,1
No,Yes,Month-to-Month,Fiber Optic,None,Bank Withdrawal,1,0,0,0,4,74.5,1
No,No,Month-to-Month,Fiber Optic,Offer E,Bank Withdrawal,4,0,0,0,5,91.05,1
Yes,No,One Year,Fiber Optic,None,Bank Withdrawal,1,2,3,5,5,100.3,0
No,No,Month-to-Month,Fiber Optic,Offer E,Credit Card,1,1,1,0,4,75.35,0
No,No,Month-to-Month,None,None,Bank Withdrawal,3,1,1,3,1,19.4,0
No,Yes,Month-to-Month,Fiber Optic,Offer E,Bank Withdrawal,3,0,0,0,4,85.85,1
No,Yes,Month-to-Month,Fiber Optic,None,Credit Card,0,0,0,0,5,80.3,0
No,No,One Year,None,None,Bank Withdrawal,2,0,0,4,1,19.35,0
Yes,No,Two Year,Fiber Optic,None,Credit Card,2,0,0,6,7,98.0,0
No,No,Month-to-Month,Fiber Optic,Offer D,Bank Withdrawal,3,0,0,2,5,80.05,0
No,No,Two Year,None,None,Credit Card,1,2,2,5,2,24.95,0
No,Yes,Two Year,None,None,Credit Card,1,3,2,6,1,19.25,0
Yes,Yes,Two Year,DSL,Offer A,Bank Withdrawal,1,2,2,6,6,59.75,0
No,No,Two Year,None,None,Credit Card,3,2,3,4,2,25.2,0
No,Yes,Month-to-Month,Fiber Optic,Offer D,Bank Withdrawal,0,0,0,2,5,100.15,1
No,Yes,Month-to-Month,Fiber Optic,None,Bank Withdrawal,4,1,0,1,5,89.8,1
No,Yes,One Year,Cable,Offer D,Bank Withdrawal,3,2,0,2,4,49.45,0
No,No,Month-to-Month,None,Offer D,Credit Card,3,1,0,1,1,19.7,0
No,No,Two Year,None,None,Credit Card,2,0,0,4,1,19.65,0
No,Yes,One Year,Fiber Optic,Offer B,Credit Card,0,1,3,6,6,102.45,0
No,No,Month-to-Month,None,None,Credit Card,1,0,0,0,1,20.25,0
Yes,No,One Year,Cable,None,Bank Withdrawal,2,1,3,6,4,55.9,0
Yes,Yes,One Year,Cable,None,Bank Withdrawal,1,2,0,5,7,64.4,0
No,No,One Year,None,Offer E,Credit Card,3,3,3,1,1,19.45,0
No,No,One Year,DSL,Offer B,Credit Card,1,1,0,4,6,70.75,0
No,Yes,Month-to-Month,DSL,None,Bank Withdrawal,4,0,0,0,2,39.65,1
No,Yes,Month-to-Month,DSL,Offer E,Bank Withdrawal,3,0,0,0,4,50.75,1
No,Yes,Month-to-Month,Fiber Optic,None,Credit Card,0,1,2,5,5,77.75,0
No,Yes,One Year,Fiber Optic,None,Credit Card,2,0,0,6,6,104.65,0
No,No,Month-to-Month,None,None,Credit Card,0,1,2,3,1,20.5,0
Yes,Yes,One Year,Fiber Optic,None,Bank Withdrawal,4,1,3,5,7,101.9,0
Yes,No,Two Year,Fiber Optic,Offer B,Credit Card,2,2,1,6,8,115.25,0
No,Yes,Month-to-Month,None,None,Mailed Check,0,2,3,3,1,20.65,0
No,Yes,Month-to-Month,Fiber Optic,Offer E,Bank Withdrawal,1,0,0,0,3,70.3,1
No,No,Two Year,None,Offer B,Credit Card,3,0,0,5,2,24.0,0
No,No,Two Year,None,Offer C,Credit Card,2,1,3,3,1,20.05,0
No,Yes,Month-to-Month,Fiber Optic,Offer E,Bank Withdrawal,4,1,2,0,3,74.6,0
No,Yes,Month-to-Month,Fiber Optic,Offer D,Bank Withdrawal,1,0,0,2,5,89.4,1
No,Yes,Month-to-Month,Fiber Optic,None,Mailed Check,1,0,0,1,4,75.75,0
No,Yes,Month-to-Month,Fiber Optic,None,Bank Withdrawal,1,0,0,5,5,100.1,1
No,No,One Year,None,None,Credit Card,1,3,0,1,1,19.0,0
No,Yes,Two Year,None,None,Credit Card,3,2,3,6,1,19.8,0
No,Yes,Two Year,None,None,Credit Card,3,0,0,2,1,19.95,0
No,No,Two Year,None,None,Credit Card,0,3,3,2,1,19.35,0
No,Yes,One Year,Cable,None,Credit Card,1,1,2,1,5,65.6,0
No,Yes,Two Year,Fiber Optic,None,Credit Card,2,2,2,6,6,84.4,0
No,No,One Year,None,None,Credit Card,0,1,2,3,1,20.1,0
Yes,Yes,One Year,Cable,Offer C,Mailed Check,1,2,3,3,6,60.8,0
No,Yes,One Year,Cable,None,Credit Card,0,1,1,3,5,53.75,0
No,Yes,Two Year,Cable,None,Bank Withdrawal,4,0,0,2,2,46.35,0
No,Yes,Month-to-Month,DSL,Offer E,Bank Withdrawal,1,1,1,0,2,24.95,1
No,No,Month-to-Month,DSL,None,Credit Card,3,2,0,4,2,30.1,1
No,No,Month-to-Month,None,None,Bank Withdrawal,1,1,3,0,1,20.15,0
Yes,No,Two Year,Cable,None,Bank Withdrawal,2,3,3,6,6,80.65,0
No,No,Two Year,None,None,Credit Card,2,2,0,3,1,20.6,0
No,Yes,Two Year,None,Offer A,Credit Card,3,0,0,6,2,25.15,0
No,Yes,One Year,Fiber Optic,None,Bank Withdrawal,4,1,1,5,5,99.1,0
Yes,No,One Year,DSL,Offer C,Credit Card,2,0,0,3,5,74.75,0
Yes,No,Month-to-Month,Cable,Offer C,Bank Withdrawal,3,3,2,3,6,81.0,0
Yes,No,Two Year,DSL,None,Credit Card,0,2,3,6,7,74.5,0
Yes,Yes,Month-to-Month,Fiber Optic,None,Bank Withdrawal,1,0,0,1,4,73.5,1
Yes,Yes,Month-to-Month,DSL,Offer E,Bank Withdrawal,1,0,0,1,7,65.5,0
No,No,Month-to-Month,Cable,Offer E,Credit Card,0,0,0,1,2,45.0,0
Yes,Yes,One Year,Fiber Optic,Offer B,Credit Card,0,0,0,5,5,100.9,0
No,Yes,One Year,Fiber Optic,None,Bank Withdrawal,0,1,3,5,4,94.85,1
No,Yes,Month-to-Month,Fiber Optic,Offer C,Bank Withdrawal,3,0,0,4,6,103.45,1
Yes,Yes,Month-to-Month,Fiber Optic,None,Bank Withdrawal,2,1,2,6,6,104.25,0
Yes,No,Two Year,DSL,None,Bank Withdrawal,3,1,2,6,6,70.95,0
Yes,Yes,Month-to-Month,Fiber Optic,Offer D,Bank Withdrawal,1,1,1,2,7,99.25,1
No,No,Month-to-Month,None,None,Bank Withdrawal,0,1,1,4,2,25.4,0
Yes,Yes,Two Year,Fiber Optic,Offer A,Bank Withdrawal,4,1,1,6,8,115.05,0
No,Yes,Two Year,None,None,Bank Withdrawal,2,0,0,4,1,20.6,0
No,No,Month-to-Month,Cable,None,Bank Withdrawal,1,1,2,5,6,61.35,0
No,Yes,Month-to-Month,DSL,Offer D,Credit Card,2,0,0,2,4,51.8,0
No,No,Month-to-Month,None,None,Bank Withdrawal,3,0,0,0,1,20.05,1
No,No,One Year,DSL,None,Credit Card,2,2,2,2,3,30.25,0
No,Yes,Month-to-Month,DSL,Offer D,Credit Card,3,0,0,1,3,44.65,0
No,Yes,Month-to-Month,Fiber Optic,Offer C,Bank Withdrawal,3,1,2,3,2,70.3,1
No,Yes,Month-to-Month,Fiber Optic,None,Credit Card,0,0,0,4,4,94.8,0
No,Yes,Month-to-Month,Fiber Optic,None,Bank Withdrawal,4,1,1,0,4,79.9,1
No,No,Month-to-Month,None,None,Credit Card,2,0,0,1,2,23.15,1
No,Yes,One Year,Fiber Optic,None,Bank Withdrawal,4,0,0,6,5,105.9,0
Yes,Yes,Two Year,Cable,None,Credit Card,3,0,0,5,4,63.25,0
No,Yes,Month-to-Month,Cable,None,Bank Withdrawal,3,0,0,0,3,50.6,1
No,Yes,One Year,DSL,Offer C,Credit Card,1,0,0,3,6,68.95,0
No,No,Month-to-Month,None,Offer C,Credit Card,2,2,0,3,1,20.05,0
No,Yes,Month-to-Month,Fiber Optic,Offer D,Credit Card,2,2,0,2,5,89.1,0
No,Yes,Month-to-Month,Cable,Offer D,Credit Card,4,0,0,2,5,83.8,1
No,Yes,Month-to-Month,Fiber Optic,None,Bank Withdrawal,4,1,1,4,5,96.5,1
No,Yes,One Year,Fiber Optic,Offer B,Bank Withdrawal,2,0,0,6,4,94.0,0
Yes,No,Two Year,DSL,None,Credit Card,3,1,3,6,7,64.05,0
No,No,Two Year,None,Offer A,Bank Withdrawal,0,2,3,6,1,20.3,0
No,No,One Year,DSL,None,Credit Card,2,0,0,4,4,35.55,0
No,No,Month-to-Month,None,Offer D,Credit Card,0,0,0,2,1,19.9,0
No,No,Two Year,None,Offer B,Mailed Check,2,0,0,4,1,19.9,0
Yes,Yes,Two Year,Fiber Optic,Offer B,Bank Withdrawal,4,2,3,4,7,110.2,0
No,No,One Year,Fiber Optic,Offer C,Bank Withdrawal,1,0,0,4,6,95.0,0
No,Yes,Month-to-Month,Fiber Optic,None,Credit Card,3,1,3,3,4,95.7,0
No,No,Month-to-Month,Cable,None,Bank Withdrawal,3,0,0,0,5,75.15,0
No,Yes,Month-to-Month,Fiber Optic,None,Bank Withdrawal,4,1,1,1,4,84.2,1
Yes,Yes,Month-to-Month,DSL,Offer D,Bank Withdrawal,2,2,0,2,6,69.1,0
No,No,One Year,Fiber Optic,Offer A,Credit Card,4,1,1,6,6,105.0,0
Yes,No,Two Year,Fiber Optic,None,Credit Card,3,1,3,6,8,115.8,0
No,No,Month-to-Month,Fiber Optic,Offer C,Credit Card,0,0,0,3,5,85.3,1
Yes,Yes,Month-to-Month,Fiber Optic,None,Bank Withdrawal,0,0,0,2,8,106.65,0
Yes,No,Month-to-Month,Fiber Optic,None,Mailed Check,0,2,3,2,6,84.4,0
Yes,Yes,Month-to-Month,DSL,None,Bank Withdrawal,3,1,0,2,5,56.0,0
No,No,Month-to-Month,DSL,Offer C,Bank Withdrawal,0,2,3,3,6,62.45,0
No,No,Two Year,None,Offer D,Credit Card,3,0,0,2,1,19.4,0
No,Yes,Month-to-Month,Fiber Optic,None,Mailed Check,2,1,1,0,5,99.15,1
No,Yes,Month-to-Month,None,None,Credit Card,0,1,2,1,1,20.55,0
Yes,Yes,Two Year,Fiber Optic,None,Bank Withdrawal,0,2,0,6,8,114.0,0
Yes,Yes,One Year,Fiber Optic,Offer B,Bank Withdrawal,4,1,2,5,8,115.6,0
No,Yes,Month-to-Month,Fiber Optic,None,Mailed Check,2,1,0,0,3,69.9,1
No,No,Two Year,None,Offer E,Credit Card,2,2,3,1,1,19.75,0
No,No,One Year,None,Offer D,Credit Card,3,0,0,2,1,20.05,0
No,No,Two Year,None,Offer B,Mailed Check,0,0,0,4,1,20.0,0
No,No,Month-to-Month,DSL,None,Bank Withdrawal,1,1,3,3,4,50.2,0
No,No,One Year,None,None,Credit Card,0,2,2,0,1,20.4,0
Yes,No,One Year,DSL,None,Credit Card,3,0,0,3,6,74.65,0
No,No,Month-to-Month,None,Offer E,Credit Card,3,0,0,0,1,19.3,0
Yes,No,Two Year,DSL,None,Bank Withdrawal,1,3,3,6,8,80.2,0
No,Yes,Month-to-Month,Fiber Optic,None,Bank Withdrawal,3,0,0,0,3,79.55,1
No,No,Month-to-Month,DSL,Offer E,Bank Withdrawal,0,0,0,0,3,44.45,0
Yes,Yes,Month-to-Month,Fiber Optic,Offer C,Bank Withdrawal,3,1,1,3,5,94.4,1
No,No,One Year,Fiber Optic,None,Credit Card,2,3,3,5,5,103.05,0
No,No,One Year,None,Offer E,Credit Card,3,2,1,0,2,24.1,0
No,Yes,Month-to-Month,Fiber Optic,None,Bank Withdrawal,4,0,0,0,4,74.7,1
Yes,No,Two Year,DSL,None,Credit Card,3,0,0,3,5,55.25,0
Yes,Yes,Month-to-Month,Fiber Optic,Offer C,Credit Card,3,0,0,3,6,94.3,0
No,No,Month-to-Month,DSL,None,Credit Card,0,0,0,0,1,24.4,0
No,Yes,Month-to-Month,Fiber Optic,None,Bank Withdrawal,4,0,0,6,6,95.9,0
No,No,Month-to-Month,None,None,Credit Card,2,2,0,0,1,19.75,1
Yes,No,Two Year,DSL,Offer A,Bank Withdrawal,0,3,3,6,8,86.85,0
Yes,No,Month-to-Month,Fiber Optic,None,Bank Withdrawal,3,0,0,4,6,91.2,0
Yes,No,Two Year,DSL,None,Bank Withdrawal,3,1,3,6,6,65.5,0
No,Yes,Month-to-Month,None,None,Bank Withdrawal,3,2,0,0,1,20.05,0
No,Yes,Month-to-Month,Fiber Optic,Offer C,Credit Card,3,3,3,3,5,90.05,0
No,Yes,Month-to-Month,Fiber Optic,None,Bank Withdrawal,2,0,0,3,2,70.4,0
Yes,Yes,Month-to-Month,Fiber Optic,Offer D,Credit Card,2,1,1,2,7,88.8,0
No,No,One Year,Fiber Optic,Offer A,Bank Withdrawal,3,1,2,6,6,104.1,1
No,No,Two Year,DSL,None,Bank Withdrawal,4,0,0,4,6,59.6,0
Yes,No,One Year,DSL,Offer C,Bank Withdrawal,0,0,0,4,5,41.15,0
No,Yes,One Year,DSL,None,Credit Card,0,1,3,6,6,70.15,0
Yes,Yes,Month-to-Month,Fiber Optic,Offer D,Bank Withdrawal,3,1,3,2,6,84.6,0
No,Yes,One Year,Fiber Optic,None,Bank Withdrawal,0,0,0,0,6,105.65,1
Yes,Yes,Month-to-Month,Fiber Optic,Offer C,Credit Card,0,0,0,3,7,108.15,1
No,No,Month-to-Month,Fiber Optic,None,Bank Withdrawal,0,0,0,0,3,68.95,1
